ANO-MES;PCCA0004;PCCE0057;PCCE0064;PCCE0069;PCCE0074;PCCE0075;PCCE0080;PCCE0081;PCCE0082;PCCE0083;PCCE00VT;PCCH0045;PCCH0082;PCDC0009;PCDC0017;PCDC0018;PCDC0019;PCON0027;PCPE0027;PCPE0030
out/21;6;;;;;;;;;;;;;;;;;;;
jan/22;14,15;;;;;;;;;;;;;;;;;;;
fev/22;46,53396825;;;;;;;;;;;;;;;;;;;
mar/22;118,0833333;;;;;;;;;;;;;;;;;;;
jun/22;;;;;;;;;;;;;;5,016666667;;;;;;
jul/22;;;;;;;;;;;;;;282,5;;;;;;
set/22;;;;;257,9833333;;;;;;;;;;;;;;;
out/22;;;;;744;;;;;;;;;;;;;;;
nov/22;;;;;720;;;;;;;;;;;;;555;;
dez/22;0,833333333;;;;744;;;;;;;;;;;;;744;;
jan/23;;;;;744;744;;;;;;;;;;;;744;;
fev/23;;;;;672;672;;;;;;;;;;;;672;;
mar/23;;;;;744;744;;;;;;;;;;;;744;;
abr/23;;;;;720;720;;;;;;;;;;;;720;;
mai/23;;;;;711,8927778;744;;;;;;;;;;;;744;;
jun/23;6,311666667;;;;;392,0425;;;;;;;;;;;;392,0472222;;
ago/23;8,717916667;;;;;;;;;;;;;70,09;;;;;;
set/23;172,7930556;;;;;;;;;;;;;8,407222222;;;;;;
out/23;62,08583333;;;;;;;;;;;;;310,7154167;;;;;;
nov/23;;;;;;;;;;;;;;486,9569444;;;;;;
jan/24;;;;;;;;;;;;;;37,16902778;;;;;;
mar/24;;;;;;;;;;;;;6;169,9866667;;481,98;;;468,56;
abr/24;;15,13166667;15,12944444;8,824305556;;;39,11953704;27,84405556;48,20229167;39,08981481;;;6;;;;;;256,2688889;
mai/24;;8,569444444;8,570833333;12,42064815;;;57,07481481;28,53159722;28,53125;57,07407407;9,678055556;3,028333333;;;;;;;;0,372777778
jun/24;;608,7463889;106,9486111;4,605;;;3,652222222;3,936190476;3,345246914;4,768131313;1,47625;;;;17,86847222;2,976805556;3,302291667;;;278,3708333
jul/24;;6;1,336944444;11,06638889;;;0,5;1,338194444;0,5;105,3897222;1,421111111;;;;19,78263889;39,39805556;39,39777778;;64,70277778;79,34361111
